name,package_name,average_rating,developer,download_url,description,md5,version_name,min_sdk_version
拼多多,com.xunmeng.pinduoduo,3.9,上海寻梦信息技术有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/6A6761A262059C5F0B185B4EEDDC3469.apk?fsname=com.xunmeng.pinduoduo_7.37.0.apk,拼多多——多实惠，多乐趣  拼多多，社交新电商领导者，更懂消费者的手机购物APP。8亿用户在此拼团，享受更高性价比的生活。和你的家人、朋友、邻居一起拼，品质商品更低价，包邮送到家，分享实惠，分享乐趣。  -多多买菜 1、依托拼多多全新的农产品上行物流体系，一键直达全国超过1000个农产品产区。 2、从田间到餐桌，避免中间环节损耗，百亿补贴加专项补贴，买菜更划算。 3、手机变成菜篮子，精选全国及海外农产区产地优质好货，覆盖各类生活必需品。  -更懂生活，好货不必贵 1、品类丰富：覆盖全品类品牌商品。小百货9.9包邮，轻松提升日常幸福感，品牌商品更低价，助你完成美好生活梦想。 2、百亿补贴：精选补贴全网热销品牌商品，直接降价，购物不必做算术题。 3、产地好货：源头好货产地直达，从农田到餐桌，从车间到小区，中国制造四十年产业经验为你敞开。  因为倾听，所以更懂你  官方微信：拼多多（pinduoduo2015） 官方微博：@拼多多 客服电话：400-8822-528 消费者固话热线：021-53395288 官网：http://www.pinduoduo.com,5f05b3d67bbc4601069a707247bba2d8,7.37.0,15
高德地图,com.autonavi.minimap,4.0,高德软件有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/D9E843493E4A7251DB7549A30B0321C8.apk?fsname=com.autonavi.minimap_15.06.0.2052.apk,高德地图，哪儿都熟 吃喝玩乐，熟门熟路 打车更快，就用高德 订酒店买门票，熟门熟路  【地图导航】 提供包含驾车丶打车丶公交丶骑行丶步行丶货车丶摩托车丶新能源等多种出行方式的智能导航 特色语音包，拥有王鹤棣、李雪琴等多款特色语音包   【高德打车】 一键呼叫全网多平台车辆，就是快 多平台实时比价，更便宜  【公共出行】 公共交通模式，周边公交地铁信息全知道 坐公交不用等，实时公交，一目了然  【生活服务】 百万酒店全网比价，7*24小时服务保障 全国景区门票优惠订，随买随用安心退 顺路买花加油取咖啡，省时又省力  【温馨提示】 高德地图的驾车语音导航，公交换乘提醒和步行语音导航会持续使用卫星定位服务，切换至后台播放时仍会继续，某些其他操作会消耗更多的电量。  【联系我们】 感谢您使用高德地图，使用中有任何问题可直接在“我的--帮助与反馈”中进行反馈，我们将在第一时间内进行处理，也可以通过以下方式进行反馈： Android官方QQ群：1023061856 官方微信公众号：高德地图/gaodeditu 官方新浪微博：@高德地图 官方客服电话：400-810-0080,d9e843493e4a7251db7549a30b0321c8,15.06.0.2052,21
微博,com.sina.weibo,4.4,北京微梦创科网络技术有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/BE9A5C5720709EAE19A5190B6A1F3583.apk?fsname=com.sina.weibo_14.12.0.apk,在微博，随时随地，发现新鲜事； 在微博，每天有数以亿计的网友在围观、分享和互动； 在微博，时政要闻、文娱热点、热门事件一手掌握； 在微博，海量视频，等你来刷；游戏动漫、美食时尚、情感搞笑、娱乐综艺、影视、体育、VLOG、知识应有尽有； 以微博之力，让世界更美。 【热搜榜】 呈现新鲜、热门、有料的热点，想知道正在发生什么，狂戳微博热搜榜 【明星大V动态】 明星、大V的新动态，加关注便可看到喜爱博主动态 【微博短视频】 海量高清视频，新鲜内容极速呈现，随时随地超级省流量 【超话社区】 在超话社区找到自己同好兴趣的网友，畅聊互动 【微博推荐】 热点内容迅速捕捉，各类海量内容让您看不下来推荐 【微博会员】 微博会员为广大用户提供专属的特权服务，包括身份、装扮、功能增强、安全、福利等30+项特权。 【微博直播】 汇聚明星、红人、媒体热门事件等直播内容，在观看的同时可以实时与大V互动！同时，可自己发布直播并及时通知给你的粉丝噢！ 人脸识别和图像处理技术由SenseTime（商汤科技）提供,be9a5c5720709eae19a5190b6a1f3583,14.12.0,21
QQ音乐,com.tencent.qqmusic,3.9,深圳市腾讯计算机系统有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/27A7D92083F649C17ED37FAE8D818DAE.apk?fsname=com.tencent.qqmusic_13.12.0.8.apk,• 过亿正版音乐，热歌新歌每日首发，你想听的都在这里 • 海量的无损音乐曲库，优质而上乘的听觉享受 • 精品有声书、播客、儿童故事、助眠节目…沉浸式陪伴，度过闲暇时光 • 听歌识曲、哼唱识别，精准识别此刻播放或哼唱的歌曲 • 翻译歌词，支持数十万首热门英日韩泰歌曲的汉译音译 • 个性化推荐，全站依你的口味定制专属音乐内容 • 车载互联，支持宝马、福特等车型的车载应用 • 强大的搜索，歌手、专辑、歌单、MV、类型、歌词、拼音、语音多种搜索方式均支持 ,27a7d92083f649c17ed37fae8d818dae,13.12.0.8,23
爱奇艺,com.qiyi.video,3.8,北京爱奇艺科技有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/BC554EB0785EE3BB3155FD746094115E.apk?fsname=com.qiyi.video_15.11.6.apk,【独播热播 给你想要】 精彩戏剧实时看：我是刑警、深潜、西北岁月、大梦归离、月光变奏曲、七夜雪、唐朝诡事录之西行、狂飙、人民警察、锦绣未央、莲花楼、凡人歌 热播电影不间断：749局、热血燃烧、危机航线、异形：夺命舰、出走的决心、戴假发的人、浴火之路、抓娃娃、龙卷风、黑雀特工、绑架游戏 热门综艺看不停：奔跑吧茶马古道篇、你们说了算之里院来福战、你好种地少年第2季、喜剧之王单口季、种地吧、哈哈哈哈哈第4季 动漫番剧随心换：航海王、伍六七之记忆碎片、龙珠大魔、丹道至尊、成何体统、绝世战魂、名侦探柯南 普通话、都市古仙医、蜡笔小新 第8季 普通话 海外剧集尽情选：请回答1988、经常请吃饭的漂亮姐姐、金秘书为何那样、大力女子都奉顺、老友记、风骚律师、哥谭镇、明日传奇、小谢尔顿   【VIP会员 尊享特权】 1、内容特权：院线新片、海量高分大片、热剧抢先看、独家综艺等。 2、观影特权：广告特权、1080P、帧绮映画、杜比全景声、杜比视界等。 3、身份特权：星钻VIP会员七端全屏通、星钻VIP会员畅享多会员等。 4、生活特权：每日福利、黄金会员免费领、FUN会员免费领等。,bc554eb0785ee3bb3155fd746094115e,15.11.6,21
WPS Office,cn.wps.moffice_eng,4.8,珠海金山办公软件有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/8E07B640324496991971BB7667FA2420.apk?fsname=cn.wps.moffice_eng_14.19.2.apk,"WPS Office是一站式AI智能办公助手，支持移动和电脑多端协作，全端无广告，帮你高效完成文档智能创作和润色、PPT高效制作、PDF文档阅读和编辑、文件拍照扫描，稻壳模版库支持海量模版，覆盖丰富办公场景。  安卓端办公软件，个人版免费使用 用户多:全球用户600,000,000 排名高:全球APP总榜同类产品榜首 体积小:只安装一个应用即可打开所有格式文档 云办公:免费云空间，安全高效，可以在任何设备.上及时查看和编辑  远程办公推荐 -远程会议，多人音频会议，对同份文档进行讨论、标记重点 -多人编辑，大家一起写同一份文档 -共享文件夹，快速收集异地同事文件，永不过期 -WPS表单，远程打卡、信息统计分析工具   WPS文字  -新建文字文档，并提供信纸、简历、合同等模板-打开26种文字格式文档，包括加密文档 -智能适应手机屏幕阅读 -支持智能排版，文字段落、对象属性设置，插入图片等编辑功能 -支持语音朗读，将文字转化为声音信息 ",8e07b640324496991971bb7667fa2420,14.19.2,21
快手,com.smile.gifmaker,4.7,北京快手科技有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/0FC4DC4E10FC92175F39445D077C5F4E.apk?fsname=com.smile.gifmaker_12.11.10.39591.apk,「有趣视频，一看就上瘾」  好看的、好玩的，好笑的短视频，都在这。    「一起同框，越玩越有戏」  随时随地多人同框，搭戏模仿，有趣更有戏。    「互动直播，有你更出众」  随时随地侃大山，好看的小哥哥小姐姐都爱玩的直播在这里。    「支持原创，潇洒做自己」  脑洞大、才艺多，有绝活，给你大舞台。    「美颜滤镜，拍出你的美」  30款美颜滤镜，上百种魔法表情；要萌要酷随你变，怎么变都好看。,0fc4dc4e10fc92175f39445d077c5f4e,12.11.10.39591,21
今日头条,com.ss.android.article.news,4.7,北京抖音信息服务有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/EE45964088695C44893CCBFDF577332D.apk?fsname=com.ss.android.article.news_10.1.0.apk,官方推荐精品应用，千万网友与你一起在头条！ 热点资讯应有尽有 — 智能推荐你感兴趣的信息、无数明星大V在这里跟你互动； 人人都是原创作者 — 发布自己的微头条、与千万网友在问答区讨论热点； 发现生活记录生活 — 有精彩无广告短视频，也有草根生活喊麦达人原创小视频； 专属领域满足个性 — 分类连载小说漫画超快更新，体育美妆全部覆盖； 【发布专属微头条】 上传发布内容，你也可以上头条！ 超多明星大V入驻，与偶像互动升级  【新鲜短视频看不停】 影视娱乐游戏生活...覆盖千万精彩短视频 无广告省流量，热点冷门一键看过瘾  【丰富频道 你要的都在这里】 海量小说免费读，超清漫迷社区 一手体育新闻  热辣赛事点评 【个性化内容支持收藏】 80万+头条号网罗精彩资讯，有内容有观点 心仪内容一键收藏，历史记录搜索无压力 @联系头条今日头条官网：toutiao.com 头条号自媒体平台：mp.toutiao.com 官方合作：BD@toutiao.com 任何反馈：请打开APP，前往“我的-用户反馈”进,ee45964088695c44893ccbfdf577332d,10.1.0,21
优酷视频,com.youku.phone,4.1,优酷信息技术（北京）有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/33124EEFC48DAC92B6693FB8996AC7FF.apk?fsname=com.youku.phone_11.1.11.apk,【精品内容，尽在优酷】  《白夜破晓》王炸回归！潘粤明玩命追凶破7案 《蜀锦人家》川辣带喜！谭松韵搞钱风生水起 《异形：夺命舰》异形新作原创故事 《亚洲》精彩纷呈的野生动物世界  《珠帘玉幕》华丽逆袭！赵露思刘宇宁掀商海风云  《剧剧有回应·春花焰》复刻名场面填补意难平  《山海伏魔录》以身入山海，斩魔扬神名  《黑白诀》追凶！连环命案藏惊天阴谋  《春花焰》复仇疯剧！刘学义吴谨言顶“疯”相见  《黑色月光》杨怡开启燃爽复仇之路  《半熟男女》好炸裂！都市男女爱情交锋，纯爱战士慎看！  《我们恋爱吧6》“会谈”与“不会谈”的我们，横跨山海浪漫会面  《雪迷宫》张艺谋监制！黄景瑜大尺度追凶  《盲盒旅行局》十二位旅客结成四支风格迥异的旅行小组，打卡十座风格各异的特色城市，共赴爆笑之旅！  《红毯先生》刘天王影帝之路荒诞闹剧,33124eefc48dac92b6693fb8996ac7ff,11.1.11,21
百度地图,com.baidu.BaiduMap,4.3,北京百度网讯科技有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/4A775F758DA931EDD12FB304533D09C0.apk?fsname=com.baidu.BaiduMap_20.11.0.apk,百度地图——科技让出行更简单！ 【智能导航】 -路况实时更新，推荐更优路线，智能躲避拥堵  -智能定位，GPS信号弱也能持续导航  -公交导航到站提醒，实时公交覆盖多城 【智能规划】 -提供包含打车、驾车、公交、步行、骑行、火车、飞机、客车、货车、摩托车等出行方式的智能规划方案 -未来通行时间智能预估，精准预估到达时间，规划路线更精准 -时间优先，躲避拥堵，少收费，不走高速等多种路线偏好任你选择 【低价打车】 -打车惊喜特惠，周周领大额红包 -多种车型智能比价，叫车快人一步 -打车有保障，隐私保护，全程安全陪伴 【智能语音】 -语音技术行业领先，可实现全端唤醒，全局交互  -喊“小度小度”，轻松查路线、搜地点、问天气，沿途搜等 -只需9句话，生成个人定制语音包，并支持地图全场景使用 【温馨提示】 百度地图的语音导航和电子狗会持续使用GPS定位服务，切换至后台播放时仍会保持GPS连接，会影响电量消耗和电池续航时间。 【遇到问题请联系】 如有问题您可通过“我的-客服中心”或以下方式进行反馈： 微信公众号：百度地图/baiduditu 新浪微博：@百度地图 客服电话：400-099-8998,4a775f758da931edd12fb304533d09c0,20.11.0,23
猎豹清理大师,com.cleanmaster.mguard_cn,4.6,北京金山安全软件有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/E74C3FE8C56F45C8A0C663511605DAAA.apk,产品亮点： 【解决手机卡慢】一键加速，手机运行如飞！ 【微信QQ清理】聊天垃圾过多，释放更多空间！ 【抖音快手清理】刷短视频占用大量空间，一键快速清理！ 【强力垃圾清理】垃圾清理效果提升 3倍 以上！ 【通知栏清理】清理通知栏垃圾，手机变清净！ 【安全应用锁】避免应用被偷看，拒绝隐私泄露！ 【超强省电】清理耗电应用，手机多用 2小时！ 【CPU降温】手机发烫快速降温，保护手机寿命！  联系我们： 邮箱：vipconnect@conew.com,e74c3fe8c56f45c8a0c663511605daaa,6.22.7,23
百度手机助手,com.baidu.appsearch,4.3,北京百度网讯科技有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/E430035A4332B8F51C0DA09AE208AF16.apk?fsname=com.baidu.appsearch_9.6.3.4.apk,【百度手机助手，你的私人智能助手】百度手机助手是Android手机的权威资源平台，囊扩实用热门必备应用和游戏资源，智能化系统帮你在海量应用中精准搜索、高速下载、轻松管理，全方位覆盖你所需的应用，一键获取。  【下应用】  [今日最佳] 帮你避开选择恐惧  [榜单推荐] 帮你选择最佳应用   [优质首发] 让你体验品质科技   【管手机】  [应用管理] 升级、下载、卸载全面管理   [空间管理] 清理、加速、整理一键生效  [实用工具] 实用、轻便、多样供你选择 ,e430035a4332b8f51c0da09ae208af16,9.6.3.4,19
美团,com.sankuai.meituan,4.5,北京三快科技有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/AFFD8F8299A8A5367415188706886EDB.apk?fsname=com.sankuai.meituan_12.27.209.apk,【特色服务】 1. 吃喝玩乐一应俱全 ◇在线预订餐厅桌位，省时安心不用等位 ◇外卖订餐水果宵夜，酒店旅游周边推荐 ◇小象超市，美团自营生鲜百货平台，你需要的一站购齐，快至30分钟送达，让你省心省力省时间！ ◇美团跑腿，一小时，全城送 ◇美团优选购生鲜，新鲜实惠，当日下单，次日自提                   ◇美团地图全面升级，点击店铺地址栏，提供检索、路线规划等特色功能，更多惊喜功能期待您去发现  2. 旅游出行一站搞定 ◇机票低价优质出行，全国汽车票在线预订更优惠 ◇美团打车优惠不停，快车专车出租车便捷出发 ◇美团单车电单车免押金骑行，更优惠更便捷 ◇查公交、查到站，车辆到站提前提醒，一站式安心乘公交  3. 全国影讯在线选座 ◇影院会员卡商家券，电影购票享超值更优惠 ◇热映影片团购订座，大片预告电影抢先看起  【用户帮助】 感谢您使用美团手机客户端，使用中有任何问题可通过以下方式查询解决： 1.客户端查询入口：我的 => 客服中心 2.官方网站：http://www.meituan.com/,affd8f8299a8a5367415188706886edb,12.27.209,21
QQ空间,com.qzone,3.9,腾讯数码（天津）有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/F623052C7BC882842CFB4271C21C76C4.apk?fsname=com.qzone_8.9.1.288.apk,QQ空间，超过6亿用户使用的社交网络。  致力于帮助用户随时随地地“分享生活，留住感动”，您可以使用手机查看好友动态、与好友互动，上传照片、写说说、写日志、签到、送礼；更有丰富的在线游戏，用心为您创造快乐！,f623052c7bc882842cfb4271c21c76c4,8.9.1.288,23
